Epoch:1
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10,Class 11,Class 12,Class 13,Class 14,Class 15,Class 16
,TP,FP,FN,TN
Class 10,0,0,777,3709
Class 11,0,0,214,4272
Class 12,788,326,1636,1736
Class 13,0,0,241,4245
Class 14,0,0,148,4338
Class 15,0,0,52,4434
Class 16,0,0,214,4272

Epoch:29
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10,Class 11,Class 12,Class 13,Class 14,Class 15,Class 16
,TP,FP,FN,TN
Class 1,0,0,414,4072
Class 2,0,0,111,4375
Class 3,0,0,184,4302
Class 4,0,1,92,4393
Class 5,0,0,524,3962
Class 6,0,0,98,4388
Class 7,0,0,72,4414
Class 8,0,0,1,4485
Class 9,0,0,10,4476
Class 10,0,0,777,3709
Class 11,0,0,214,4272
Class 12,837,350,1587,1712
Class 13,0,0,241,4245
Class 14,0,0,148,4338
Class 15,0,0,52,4434
Class 16,0,0,214,4272

Epoch:30
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10,Class 11,Class 12,Class 13,Class 14,Class 15,Class 16
,TP,FP,FN,TN
Class 1,0,1,414,4071
Class 2,0,1,111,4374
Class 3,0,1,184,4301
Class 4,0,1,92,4393
Class 5,0,1,524,3961
Class 6,0,1,98,4387
Class 7,0,1,72,4413
Class 8,1,0,0,4485
Class 9,0,1,10,4475
Class 10,0,0,777,3709
Class 11,0,1,214,4271
Class 12,937,394,1487,1668
Class 13,0,1,241,4244
Class 14,0,1,148,4337
Class 15,0,1,52,4433
Class 16,0,1,214,4271

Epoch:31
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10,Class 11,Class 12,Class 13,Class 14,Class 15,Class 16
,TP,FP,FN,TN
Class 1,0,0,414,4072
Class 2,0,0,111,4375
Class 3,0,0,184,4302
Class 4,0,0,92,4394
Class 5,0,0,524,3962
Class 6,0,0,98,4388
Class 7,0,0,72,4414
Class 8,0,0,1,4485
Class 9,0,0,10,4476
Class 10,0,0,777,3709
Class 11,0,0,214,4272
Class 12,1129,486,1295,1576
Class 13,0,0,241,4245
Class 14,0,0,148,4338
Class 15,0,0,52,4434
