Epoch:1
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10
,TP,FP,FN,TN
Class 8,107,6,12,6228
Class 9,445,11,22,5875
Class 10,660,29,60,5604

Epoch:19
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10
,TP,FP,FN,TN
Class 1,1198,33,59,5063
Class 2,504,11,32,5806
Class 3,1109,22,45,5177
Class 4,76,9,19,6249
Class 5,127,4,10,6212
Class 6,87,5,9,6252
Class 7,837,21,51,5444
Class 8,106,7,13,6227
Class 9,449,7,18,5879
Class 10,681,21,39,5612

Epoch:20
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10
,TP,FP,FN,TN
Class 1,1212,22,45,5074
Class 2,511,10,25,5807
Class 3,1107,27,47,5172
Class 4,87,3,8,6255
Class 5,134,1,3,6215
Class 6,91,2,5,6255
Class 7,828,33,60,5432
Class 8,108,6,11,6228
Class 9,453,8,14,5878
Class 10,680,18,40,5615

Epoch:21
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10
,TP,FP,FN,TN
Class 1,1203,28,54,5068
Class 2,510,14,26,5803
Class 3,1105,23,49,5176
Class 4,90,4,5,6254
Class 5,130,3,7,6213
Class 6,92,1,4,6256
Class 7,810,34,78,5431
Class 8,108,4,11,6230
Class 9,445,10,22,5876
Class 10,675,20,45,5613

Epoch:22
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10
,TP,FP,FN,TN
Class 1,1208,27,49,5069
Class 2,510,9,26,5808
Class 3,1110,13,44,5186
Class 4,86,1,9,6257
Class 5,130,1,7,6215
Class 6,90,2,6,6255
Class 7,828,34,60,5431
Class 8,105,8,14,6226
Class 9,447,7,20,5879
Class 10,679,19,41,5614

Epoch:23
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10
,TP,FP,FN,TN
Class 1,1211,24,46,5072
Class 2,511,14,25,5803
Class 3,1113,18,41,5181
Class 4,86,4,9,6254
Class 5,133,3,4,6213
Class 6,93,0,3,6257
Class 7,830,21,58,5444
Class 8,112,4,7,6230
Class 9,457,5,10,5881
Class 10,681,14,39,5619

Epoch:24
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10
,TP,FP,FN,TN
